"","taxon_id","pro_id","pro_id_representative","sample","library","pep_bin_sum","pep_bin_n"
"57","uvig_356226","uvig_356226_24","uvig_356226_24","S3.0153.01X194","pepsyn",1,12
"58","uvig_356226","uvig_356226_24","uvig_356226_24","SO.0491.01X194","pepsyn",0,12
"59","uvig_356226","uvig_356226_24","uvig_356226_24","S3.0693.01.2X194","pepsyn",0,12
"60","uvig_356226","uvig_356226_24","uvig_356226_24","S3.0701.01.2X194","pepsyn",0,12
"61","uvig_356226","uvig_356226_113","uvig_356226_38","S3.0693.01X195","pepsyn",0,10
"62","uvig_356226","uvig_356226_113","uvig_356226_38","S3.0153.01X194","pepsyn",1,10
"63","uvig_356226","uvig_356226_113","uvig_356226_38","SO.0491.01X194","pepsyn",0,10
"64","uvig_356226","uvig_356226_113","uvig_356226_38","S3.0693.01.2X194","pepsyn",0,10
"65","uvig_356226","uvig_356226_113","uvig_356226_38","S3.0701.01.2X194","pepsyn",0,10
"66","uvig_356226","uvig_356226_126","uvig_356226_51","S3.0693.01X195","pepsyn",2,10
"67","uvig_356226","uvig_356226_126","uvig_356226_51","S3.0153.01X194","pepsyn",0,10
"68","uvig_356226","uvig_356226_126","uvig_356226_51","SO.0491.01X194","pepsyn",0,10
"69","uvig_356226","uvig_356226_126","uvig_356226_51","S3.0693.01.2X194","pepsyn",1,10
"70","uvig_356226","uvig_356226_126","uvig_356226_51","S3.0701.01.2X194","pepsyn",1,10
"71","uvig_356226","uvig_356226_141","uvig_356226_66","S3.0693.01X195","pepsyn",1,10
"72","uvig_356226","uvig_356226_141","uvig_356226_66","S3.0153.01X194","pepsyn",0,10
"73","uvig_356226","uvig_356226_141","uvig_356226_66","SO.0491.01X194","pepsyn",0,10
"74","uvig_356226","uvig_356226_141","uvig_356226_66","S3.0693.01.2X194","pepsyn",0,10
"75","uvig_356226","uvig_356226_141","uvig_356226_66","S3.0701.01.2X194","pepsyn",0,10
"76","uvig_356226","uvig_356226_147","uvig_356226_72","S3.0693.01X195","pepsyn",2,10
"77","uvig_356226","uvig_356226_147","uvig_356226_72","S3.0153.01X194","pepsyn",0,10
"78","uvig_356226","uvig_356226_147","uvig_356226_72","SO.0491.01X194","pepsyn",0,10
"79","uvig_356226","uvig_356226_147","uvig_356226_72","S3.0693.01.2X194","pepsyn",2,10
"80","uvig_356226","uvig_356226_147","uvig_356226_72","S3.0701.01.2X194","pepsyn",0,10
"81","uvig_356226","uvig_356226_149","uvig_356226_74","S3.0693.01X195","pepsyn",0,10
"82","uvig_356226","uvig_356226_149","uvig_356226_74","S3.0153.01X194","pepsyn",2,10
"83","uvig_356226","uvig_356226_149","uvig_356226_74","SO.0491.01X194","pepsyn",0,10
"84","uvig_356226","uvig_356226_149","uvig_356226_74","S3.0693.01.2X194","pepsyn",0,10
"85","uvig_356226","uvig_356226_149","uvig_356226_74","S3.0701.01.2X194","pepsyn",0,10
"86","uvig_356226","uvig_356226_16","uvig_385029_13","S3.0693.01X195","pepsyn",0,10
"87","uvig_356226","uvig_356226_16","uvig_385029_13","S3.0153.01X194","pepsyn",0,10
"88","uvig_356226","uvig_356226_16","uvig_385029_13","SO.0491.01X194","pepsyn",0,10
"89","uvig_356226","uvig_356226_16","uvig_385029_13","S3.0693.01.2X194","pepsyn",0,10
"90","uvig_356226","uvig_356226_16","uvig_385029_13","S3.0701.01.2X194","pepsyn",0,10
"91","uvig_356226","uvig_356226_20","uvig_356226_20","S3.0693.01X195","pepsyn",0,10
"92","uvig_356226","uvig_356226_20","uvig_356226_20","S3.0153.01X194","pepsyn",0,10
"93","uvig_356226","uvig_356226_20","uvig_356226_20","SO.0491.01X194","pepsyn",0,10
"94","uvig_356226","uvig_356226_20","uvig_356226_20","S3.0693.01.2X194","pepsyn",0,10
"95","uvig_356226","uvig_356226_20","uvig_356226_20","S3.0701.01.2X194","pepsyn",0,10
"96","uvig_356226","uvig_356226_112","uvig_356226_37","S3.0693.01X195","pepsyn",0,8
"97","uvig_356226","uvig_356226_112","uvig_356226_37","S3.0153.01X194","pepsyn",0,8
"98","uvig_356226","uvig_356226_112","uvig_356226_37","SO.0491.01X194","pepsyn",0,8
"99","uvig_356226","uvig_356226_112","uvig_356226_37","S3.0693.01.2X194","pepsyn",0,8
