"","triplet_id","sample","pep","triplet","zeroes"
"1728","dolphyn_862980721965418944","S3.0693.01X195",0,1.6752256529721,TRUE
"1729","dolphyn_8630996491008456073","SO.0491.01X194",1.80500469597808,0,TRUE
"1730","dolphyn_8631679163584139442","S3.0693.01.2X194",2.86846692250811,3.47010136030937,FALSE
"1731","dolphyn_8631679163584139442","S3.0693.01X195",3.35863776724336,4.03335529059567,FALSE
"1732","dolphyn_8632198237730045530","S3.0693.01X195",1.74919985480926,0,TRUE
"1733","dolphyn_8632587503206457608","S3.0693.01.2X194",1.83896107071235,0,TRUE
"1734","dolphyn_8632609489602369804","S3.0153.01X194",0,1.73518911773966,TRUE
"1735","dolphyn_8638475062124782652","S3.0693.01X195",1.90805992492422,0,TRUE
"1736","dolphyn_8650594759273050697","S3.0153.01X194",1.7227665977411,0,TRUE
"1737","dolphyn_865127416396544285","S3.0153.01X194",0,2.9590682891824,TRUE
"1738","dolphyn_8652531888677888832","S3.0153.01X194",1.71018781553424,0,TRUE
"1739","dolphyn_8652531888677888832","S3.0693.01X195",0,1.86717610851281,TRUE
"1740","dolphyn_8663453260673925064","S3.0153.01X194",1.708377860289,0,TRUE
"1741","dolphyn_8669898751100849351","S3.0153.01X194",1.65822807660353,0,TRUE
"1742","dolphyn_8678518855287408146","S3.0693.01X195",1.63705307946707,0,TRUE
"1743","dolphyn_8680768673135162522","S3.0153.01X194",1.63510565918268,1.66203036255327,FALSE
"1744","dolphyn_8680768673135162522","S3.0693.01.2X194",2.45100509811232,3.09376601382536,FALSE
"1745","dolphyn_8680768673135162522","S3.0693.01X195",2.77258872223978,3.73909717027455,FALSE
"1746","dolphyn_8681579637475890300","SO.0491.01X194",2.69665215614984,0,TRUE
"1747","dolphyn_8683759630732447324","S3.0693.01.2X194",0,1.83896107071235,TRUE
"1748","dolphyn_8683759630732447324","S3.0693.01X195",1.66581824587021,1.65822807660353,FALSE
"1749","dolphyn_8691445341929146311","S3.0693.01X195",1.66203036255327,0,TRUE
"1750","dolphyn_8701623657652670010","S3.0153.01X194",0,1.87487437593856,TRUE
"1751","dolphyn_8703363746135096180","S3.0693.01X195",0,1.70474809223843,TRUE
"1752","dolphyn_8706474578245116153","S3.0153.01X194",2.43886271128659,0,TRUE
"1753","dolphyn_8706815086423386223","S3.0153.01X194",1.64480505627139,0,TRUE
"1754","dolphyn_871011417885150081","S3.0693.01X195",1.6094379124341,0,TRUE
"1755","dolphyn_8718758307582333515","S3.0153.01X194",1.66203036255327,0,TRUE
"1756","dolphyn_8721467494064280194","S3.0693.01.2X194",0,2.22462355152433,TRUE
"1757","dolphyn_8721467494064280194","S3.0693.01X195",0,2.01623546577604,TRUE
"1758","dolphyn_8722697770262258178","S3.0693.01X195",1.65249740189455,0,TRUE
"1759","dolphyn_8729374937149189938","S3.0153.01X194",2.94021956362373,0,TRUE
