"","S3.0078.01X194","S3.0137.01X195","S3.0144.01X194","S3.0149.01X195","S3.0153.01X194","S3.0154.01X195","S3.0169.01X194","S3.0171.01X194","S3.0195.01X194","S3.0495.01X194","S3.0500.01X195","S3.0521.01X195","S3.0586.01X195","S3.0598.01X195","S3.0613.01X195","S3.0616.01X194","S3.0617.01X194","S3.0630.01X195","S3.0631.01X195","S3.0633.01X194","S3.0639.01X195","S3.0646.01X194","S3.0652.01X195","S3.0657.01X194","S3.0662.01X195","S3.0665.01X194","S3.0677.01X194","S3.0693.01.2X194","S3.0693.01X195","S3.0698.01X194","S3.0700.01X194","S3.0701.01.2X194","S3.0701.01X194","S3.0710.01X194","S3.0719.01X195","S3.0720.01X195","S3.0723.01X195","S3.0736.01X195","S3.0748.01X194","S3.0800.01X194","S3.0906.01X194","SO.0386.01X194","SO.0437.01X194","SO.0456.01X195","SO.0458.01X194","SO.0479.01X195","SO.0491.01X194","SO.0665.01X194","SO.0679.02X194","SO.0739.01X194","SO.0746.01X194","SO.0749.01X194","SO.0761.01X194","Blast_Escherichia.coli","Host_Genus","Host_Phylum","Predicted_phage_taxon","phage_cluster"
"ivig_4176 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_506411 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_267525 28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_372157 28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_558569 28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_160801 1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True",NA,NA,NA,"PC_1"
"uvig_213404 1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True",NA,NA,NA,"PC_1"
"uvig_225655 1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True",NA,NA,NA,"PC_1"
"uvig_359760 1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True",NA,NA,NA,"PC_1"
"uvig_379702 1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True",NA,NA,NA,"PC_1"
"uvig_512665 1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True",NA,NA,NA,"PC_1"
"uvig_578696 1163",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True",NA,NA,NA,"PC_1"
"uvig_80910 1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True",NA,NA,NA,"PC_1"
"ivig_4427 1317",1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,"True","Escherichia","Proteobacteria","Myoviridae","PC_4"
"uvig_315372 1317",1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,"True",NA,NA,"Myoviridae","PC_4"
"uvig_361191 1406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_430938 1406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_509342 1406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_535970 1406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_453526 1705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_542782 1705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_355854 2235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_355947 2235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_356375 2235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_356912 2235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_358476 2235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_358852 2235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_359377 2235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_358797 2858",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,"False",NA,NA,NA,"PC_4"
"uvig_395307 2858",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,"False",NA,NA,NA,"PC_4"
"uvig_505586 3101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_525990 3101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Bacteroides_mix","Bacteroidota",NA,"PC_1"
"uvig_354716 3989",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"False",NA,NA,NA,"PC_2"
"uvig_355148 3989",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"False",NA,NA,NA,"PC_2"
"uvig_355218 3989",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"False",NA,NA,NA,"PC_2"
"uvig_356969 3989",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"False",NA,NA,NA,"PC_2"
"uvig_357534 4661",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
