"","S3.0078.01X194","S3.0137.01X195","S3.0144.01X194","S3.0149.01X195","S3.0153.01X194","S3.0154.01X195","S3.0169.01X194","S3.0171.01X194","S3.0195.01X194","S3.0495.01X194","S3.0500.01X195","S3.0521.01X195","S3.0586.01X195","S3.0598.01X195","S3.0613.01X195","S3.0616.01X194","S3.0617.01X194","S3.0630.01X195","S3.0631.01X195","S3.0633.01X194","S3.0639.01X195","S3.0646.01X194","S3.0652.01X195","S3.0657.01X194","S3.0662.01X195","S3.0665.01X194","S3.0677.01X194","S3.0693.01.2X194","S3.0693.01X195","S3.0698.01X194","S3.0700.01X194","S3.0701.01.2X194","S3.0701.01X194","S3.0710.01X194","S3.0719.01X195","S3.0720.01X195","S3.0723.01X195","S3.0736.01X195","S3.0748.01X194","S3.0800.01X194","S3.0906.01X194","SO.0386.01X194","SO.0437.01X194","SO.0456.01X195","SO.0458.01X194","SO.0479.01X195","SO.0491.01X194","SO.0665.01X194","SO.0679.02X194","SO.0739.01X194","SO.0746.01X194","SO.0749.01X194","SO.0761.01X194","Blast_Escherichia.coli","Host_Genus","Host_Phylum","Predicted_phage_taxon","phage_cluster"
"uvig_355286 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_355478 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,"Podoviridae","PC_1"
"uvig_356226 NA",1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,"False","Sutterella","Proteobacteria","Myoviridae","PC_4"
"uvig_356259 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Blautia_A","Firmicutes",NA,"PC_1"
"uvig_356500 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_356526 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_356577 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True",NA,NA,NA,"PC_1"
"uvig_356750 NA",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,"False","Bifidobacterium","Actinobacteriota",NA,"PC_4"
"uvig_356792 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_356955 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_357328 NA",1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,"True","Escherichia","Proteobacteria","Myoviridae","PC_4"
"uvig_357441 NA",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"False","Blautia_A","Firmicutes",NA,"PC_1"
"uvig_357864 NA",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"False",NA,NA,NA,"PC_2"
"uvig_358682 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Prevotella","Bacteroidota",NA,"PC_1"
"uvig_359155 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False","Agathobacter","Firmicutes",NA,"PC_1"
"uvig_359213 NA",1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,"True",NA,NA,"Myoviridae","PC_4"
"uvig_359660 NA",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,"False",NA,NA,NA,"PC_4"
"uvig_379414 NA",1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,"True",NA,NA,"Myoviridae","PC_4"
"uvig_385029 NA",1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,"True","Escherichia","Proteobacteria",NA,"PC_4"
"uvig_396640 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,"Siphoviridae","PC_1"
"uvig_396758 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_418132 NA",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,"False",NA,NA,NA,"PC_3"
"uvig_428798 NA",1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"True","Escherichia","Proteobacteria",NA,"PC_3"
"uvig_429042 NA",1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,"True",NA,NA,"Myoviridae","PC_4"
"uvig_429694 NA",1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,"True",NA,NA,NA,"PC_4"
"uvig_449019 NA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_529959 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,NA,"PC_1"
"uvig_577424 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,"Siphoviridae","PC_1"
"uvig_577448 NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"False",NA,NA,"Siphoviridae","PC_1"
"uvig_578788 NA",1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,"True",NA,NA,"Myoviridae","PC_4"
