"","wildtypeIDs","sampleXplate","lhfc_G","lhfc_G4S"
"154","10800n-21029r-94490n","SMART087X194",3.4626060097908,3.15273602236366
"156","10800n-21029r-94490n","SMART088X194",5.35625603146848,5.64886859877875
"158","10800n-21029r-94490n","SMART091X195",4.08849414854393,4.18311827427553
"160","10800n-21029r-94490n","SMART093X195",6.00304720835105,6.06789303905755
"162","10800n-21029r-94490n","SMART094X194",4.36309862478836,4.67693255221498
"164","10800n-21029r-94490n","SMART095X195",3.85988725100762,4.13356527537538
"166","10800n-21029r-94490n","SMART096X194",1.64287268852034,2.14710019015365
"168","10800n-21029r-94490n","SMART097X195",3.85439389259151,3.92632031012897
"170","10800n-21029r-94490n","SMART098X194",5.27903260513617,5.39226297939056
"172","10800n-21029r-94490n","SMART100X195",3.86953295380719,3.83124669540086
"174","10800n-21029r-94490n","SMART102X194",2.73371794785079,2.63404478779171
"176","10800n-21029r-94490n","SMART103X195",5.22477846321317,5.21710731112249
"178","10800n-21029r-94490n","SMART104X194",4.49780766765959,4.53817531716381
"180","10800n-21029r-94490n","SMART106X195",6.0352182399979,6.05037004501851
"182","10800n-21029r-94490n","SMART108X195",5.12604514560708,5.22601545479263
"184","10800n-21029r-94490n","SMART110X195",3.95795193731655,3.95756982038412
"186","10800n-21029r-94490n","SMART115X195",4.60856441905611,4.69747585677212
"190","10800n-21029r-94490n","SMART118X195",5.50447751282183,5.60322521966489
"192","10800n-21029r-94490n","SMART119X194",5.51463769251412,5.8481713772815
"196","10800n-21029r-94490n","SMART122X195",5.92004910069745,5.98464132175986
"198","10800n-21029r-94490n","SMART125X195",4.3221439250725,4.42124734782716
"202","10800n-21029r-94490n","SMART128X195",4.22872975692054,4.20319896713418
"204","10800n-21029r-94490n","SMART129X195",4.29592393562047,4.4674012562432
"206","10800n-21029r-94490n","SMART136X194",5.29971638746174,5.48649673282615
"210","10800n-21029r-94490n","SMART147X195",6.24428339873194,6.31674943808862
"212","10800n-21029r-94490n","SMART150X194",3.59236855373309,3.83146349756973
"214","10800n-21029r-94490n","SMART151X195",3.69012867351437,3.64309726145881
"216","10800n-21029r-94490n","SMART155X195",2.73046379593911,3.01258939062041
"218","10800n-21029r-94490n","SMART160X194",4.54923455365779,4.68305672464516
"220","10800n-21029r-94490n","SMART164X194",3.66304869407941,3.94603788401542
"222","10800n-21029r-94490n","SMART170X194",5.96177823673762,6.33411409337582
"224","10800n-21029r-94490n","SMART171X195",4.4783590191217,4.54849400879453
"226","10800n-21029r-94490n","SMART173X195",4.54531401883473,4.5709927341865
"228","10800n-21029r-94490n","SMART178X194",4.64448704836504,5.03500265054455
"230","10800n-21029r-94490n","SMART184X195",4.93526498707148,5.03226631422255
"232","10800n-21029r-94490n","SMART188X194",3.36210999295411,3.62647199398532
"234","10800n-21029r-94490n","SMART189X195",4.56142726304017,4.52558570664525
"236","10800n-21029r-94490n","SMART198X194",5.75190574983793,5.96159794750169
"238","10800n-21029r-94490n","SMART203X194",3.50585765220559,3.7220724214697
"240","10800n-21029r-94490n","SMART204X194",2.75556971707019,2.98163334917449
"242","10800n-21029r-94490n","SMART215X194",2.38784493694487,2.13771044980381
"244","10800n-21029r-94490n","SMART232X194",3.88485733735538,4.30838009450558
"246","10800n-21029r-94490n","SMART235X195",5.35128925131414,5.36709688194286
"248","10800n-21029r-94490n","SMART238X195",4.2356994381033,4.14313472639153
"250","10800n-21029r-94490n","SMART240X195",3.16124671203156,3.43624272340496
"252","10800n-21029r-94490n","SMART241X194",4.24949474238244,4.49635928012991
"254","10800n-21029r-94490n","SMART242X194",4.61125165630396,4.85616234012204
"256","10800n-21029r-94490n","SMART247X194",4.80851910997412,5.12918840354007
"258","10800n-21029r-94490n","SMART258X194",4.42268861639277,4.56559741086827
"260","10800n-21029r-94490n","SMART263X195",5.11541564148902,5.16490025310769
"262","10800n-21029r-94490n","SMART266X195",3.3057871968575,3.45663208855026
"264","10800n-21029r-94490n","SMART267X195",4.98811698266565,5.1278848541465
"266","10800n-21029r-94490n","SMART269X195",4.6615505194242,4.78281415323093
"270","10800n-21029r-94490n","SMART277X194",3.64414356027254,4.1159429617746
"272","10800n-21029r-94490n","SMART290X194",5.24317456705083,5.54868690411584
"274","10800n-21029r-94490n","SMART291X195",4.37726531757217,4.50391235391386
"276","10800n-21029r-94490n","SMART298X195",3.50224862573188,3.75044480977209
"278","10800n-21029r-94490n","SMART303X195",4.93411415618851,4.97106251897643
"280","10800n-21029r-94490n","SMART306X195",5.26558754192512,5.38641981476958
"282","10800n-21029r-94490n","SMART307X195",3.97274174046285,4.02231135932227
"284","10800n-21029r-94490n","SMART308X195",5.40285754582196,5.44686667365128
"286","10800n-21029r-94490n","SMART309X194",2.49897390699944,2.7868613815265
"288","10800n-21029r-94490n","SMART310X194",3.68962917300448,3.97048057499971
"290","10800n-21029r-94490n","SMART315X194",1.98924327376169,2.37861977927004
"292","10800n-21029r-94490n","SMART320X195",4.35990882942026,4.38850560077159
"294","10800n-21029r-94490n","SMART321X194",4.32148013480585,4.60706838327117
"296","10800n-21029r-94490n","SMART323X194",4.07990751442433,4.14709512760763
"298","10800n-21029r-94490n","SMART325X195",4.4633761803702,4.63336884034677
"300","10800n-21029r-94490n","SMART331X194",4.52059220951279,4.79834925278283
"302","10800n-21029r-94490n","SMART332X194",3.50855589998265,3.51898041731854
"306","10800n-21029r-94490n","SMART341X194",2.71997877196748,3.17888681665184
"308","10800n-21029r-94490n","SMART348X195",2.69192081917233,2.76443053453832
"310","10800n-21029r-94490n","SMART351X195",4.48571074595076,4.41787628756758
