,FPR,TPR
0,0.0,0.0
1,0.000877963125548727,0.01755926251097454
2,0.000877963125548727,0.02019315188762072
3,0.000877963125548727,0.021949078138718173
4,0.000877963125548727,0.029850746268656716
5,0.000877963125548727,0.03160667251975417
6,0.000877963125548727,0.03511852502194908
7,0.001755926251097454,0.03511852502194908
8,0.001755926251097454,0.03687445127304653
9,0.001755926251097454,0.03775241439859526
10,0.0026338893766461808,0.038630377524143986
11,0.0026338893766461808,0.04038630377524144
12,0.0026338893766461808,0.04214223002633889
13,0.0026338893766461808,0.04741000877963126
14,0.0026338893766461808,0.048287971905179985
15,0.0026338893766461808,0.05267778753292362
16,0.0026338893766461808,0.0553116769095698
17,0.0026338893766461808,0.056189640035118525
18,0.0026338893766461808,0.05970149253731343
19,0.003511852502194908,0.05970149253731343
20,0.003511852502194908,0.061457418788410885
21,0.004389815627743635,0.061457418788410885
22,0.004389815627743635,0.0649692712906058
23,0.0052677787532923615,0.0684811237928007
24,0.006145741878841089,0.07111501316944688
25,0.006145741878841089,0.07199297629499561
26,0.006145741878841089,0.07462686567164178
27,0.006145741878841089,0.08077260755048288
28,0.006145741878841089,0.08867427568042142
29,0.006145741878841089,0.08955223880597014
30,0.006145741878841089,0.09306409130816505
31,0.007023705004389816,0.09569798068481124
32,0.007023705004389816,0.09745390693590869
33,0.007023705004389816,0.09833187006145742
34,0.007023705004389816,0.10272168568920105
35,0.007023705004389816,0.10535557506584724
36,0.007023705004389816,0.10711150131694469
37,0.00877963125548727,0.11501316944688324
38,0.00877963125548727,0.11589113257243196
39,0.00877963125548727,0.11852502194907814
40,0.00877963125548727,0.11940298507462686
41,0.00877963125548727,0.12115891132572432
42,0.00877963125548727,0.1237928007023705
43,0.00877963125548727,0.12554872695346794
44,0.00877963125548727,0.1360842844600527
45,0.00877963125548727,0.1369622475856014
46,0.00877963125548727,0.14047410008779632
47,0.00877963125548727,0.14223002633889376
48,0.00877963125548727,0.14486391571553994
49,0.009657594381035996,0.15100965759438104
50,0.009657594381035996,0.15188762071992976
51,0.009657594381035996,0.15715539947322213
52,0.010535557506584723,0.16417910447761194
53,0.010535557506584723,0.16681299385425813
54,0.010535557506584723,0.16769095697980685
55,0.010535557506584723,0.17032484635645304
56,0.010535557506584723,0.17383669885864794
57,0.01141352063213345,0.17383669885864794
58,0.01141352063213345,0.17734855136084285
59,0.012291483757682178,0.1791044776119403
60,0.013169446883230905,0.17998244073748904
61,0.014047410008779631,0.18173836698858647
62,0.014047410008779631,0.18437225636523266
63,0.014047410008779631,0.18964003511852504
64,0.014047410008779631,0.1922739244951712
65,0.014047410008779631,0.19315188762071994
66,0.014047410008779631,0.19490781387181738
67,0.014047410008779631,0.20105355575065847
68,0.014925373134328358,0.20456540825285338
69,0.014925373134328358,0.20632133450395082
70,0.014925373134328358,0.2080772607550483
71,0.014925373134328358,0.21071115013169447
72,0.01755926251097454,0.21246707638279191
73,0.01755926251097454,0.21422300263388938
74,0.018437225636523266,0.21422300263388938
75,0.021071115013169446,0.228270412642669
76,0.021071115013169446,0.23002633889376647
77,0.021949078138718173,0.2317822651448639
78,0.0228270412642669,0.2344161545215101
79,0.025460930640913083,0.23529411764705882
80,0.025460930640913083,0.2370500438981563
81,0.02633889376646181,0.23880597014925373
82,0.02633889376646181,0.2414398595258999
83,0.02633889376646181,0.24319578577699735
84,0.028094820017559263,0.247585601404741
85,0.030728709394205442,0.2528533801580334
86,0.03160667251975417,0.2598770851624232
87,0.03160667251975417,0.2607550482879719
88,0.03160667251975417,0.2642669007901668
89,0.0324846356453029,0.2704126426690079
90,0.0324846356453029,0.2712906057945566
91,0.03424056189640035,0.27480245829675154
92,0.03424056189640035,0.2791922739244952
93,0.03424056189640035,0.28094820017559263
94,0.03424056189640035,0.2844600526777875
95,0.035996488147497806,0.28797190517998245
96,0.035996488147497806,0.28884986830553117
97,0.03775241439859526,0.29499561018437226
98,0.03775241439859526,0.295873573309921
99,0.04038630377524144,0.30114135206321335
100,0.04038630377524144,0.30465320456540823
101,0.041264266900790166,0.3099209833187006
102,0.043898156277436345,0.31431079894644426
103,0.04477611940298507,0.3160667251975417
104,0.04477611940298507,0.31870061457418786
105,0.0456540825285338,0.3257243195785777
106,0.046532045654082525,0.32660228270412645
107,0.046532045654082525,0.33362598770851626
108,0.046532045654082525,0.334503950834065
109,0.04916593503072871,0.34064969271290607
110,0.05267778753292362,0.34503950834064967
111,0.053555750658472345,0.3485513608428446
112,0.0553116769095698,0.3494293239683933
113,0.0553116769095698,0.35118525021949076
114,0.056189640035118525,0.35294117647058826
115,0.058823529411764705,0.35733099209833186
116,0.058823529411764705,0.35908691834942935
117,0.058823529411764705,0.35996488147497807
118,0.05970149253731343,0.35996488147497807
119,0.06057945566286216,0.3608428446005268
120,0.06321334503950835,0.36259877085162423
121,0.06409130816505706,0.36611062335381916
122,0.0649692712906058,0.36611062335381916
123,0.06672519754170325,0.3722563652326602
124,0.07023705004389816,0.3748902546093064
125,0.07111501316944688,0.37576821773485514
126,0.07111501316944688,0.3775241439859526
127,0.07901668129938542,0.3880597014925373
128,0.07989464442493416,0.3880597014925373
129,0.08165057067603161,0.3915715539947322
130,0.08252853380158033,0.3968393327480246
131,0.08428446005267778,0.40122914837576823
132,0.09043020193151888,0.4064969271290606
133,0.09306409130816505,0.4073748902546093
134,0.09306409130816505,0.40913081650570676
135,0.09394205443371378,0.4100087796312555
136,0.09745390693590869,0.4100087796312555
137,0.10008779631255488,0.4196663740122915
138,0.1009657594381036,0.4266900790166813
