"","taxon_id","pro_id","lfc","pep_no","triplet_id","sample"
"337","uvig_358682","uvig_358682_22",1.7561322915849,"pep2","dolphyn_3559398535225935904","S3.0153.01X194"
"338","uvig_379414","uvig_379414_3",1.7509374747078,"triplet","dolphyn_892604953543163762","S3.0153.01X194"
"339","uvig_315082","uvig_315082_21",1.7509374747078,"pep2","dolphyn_6873698798253845018","SO.0491.01X194"
"340","uvig_379414","uvig_379414_3",1.7509374747078,"pep1","dolphyn_892604953543163762","S3.0153.01X194"
"341","uvig_385029","uvig_385029_132",1.74919985480926,"triplet","dolphyn_2564611118874624972","S3.0693.01X195"
"342","ivig_4424","ivig_4424_67",1.74919985480926,"triplet","dolphyn_4974580062123850975","S3.0693.01X195"
"343","uvig_356955","uvig_356955_82",1.74919985480926,"pep3","dolphyn_1099074316398906168","S3.0693.01X195"
"344","uvig_315082","uvig_315082_60",1.7404661748405,"pep1","dolphyn_2679185654020177539","S3.0153.01X194"
"345","uvig_354790","uvig_354790_83",1.73342389221509,"triplet","dolphyn_7920268146096793101","S3.0693.01X195"
"346","ivig_4176","ivig_4176_40",1.72988406550997,"triplet","dolphyn_4068435768287974432","S3.0693.01X195"
"347","uvig_418132","uvig_418132_7",1.72988406550997,"pep1","dolphyn_6896850464376645727","S3.0693.01X195"
"348","uvig_359660","uvig_359660_12",1.7281094421516,"pep1","dolphyn_7414084585888096695","S3.0693.01X195"
"349","uvig_385029","uvig_385029_39",1.7245507195346,"triplet","dolphyn_175463952917582722","S3.0153.01X194"
"350","ivig_896","ivig_896_198",1.7245507195346,"triplet","dolphyn_3044157423050121916","S3.0153.01X194"
"351","ivig_3875","ivig_3875_12",1.7245507195346,"pep1","dolphyn_1453739001129547693","S3.0153.01X194"
"352","ivig_3679","ivig_3679_56",1.7227665977411,"pep2","dolphyn_3065440054305836257","S3.0153.01X194"
"353","uvig_356792","uvig_356792_27",1.72097928716701,"triplet","dolphyn_1221643508740902921","S3.0153.01X194"
