"taxon_id","sample_id","total_peps","score","score_norm","shape","rate","mean","variance","vir_score","virus_fc","p_val","library","plate","sample","p_val_re"
"ivig_1166","S3.0078.01",1145,491.772384764913,0.429495532545776,578.945931162338,1685.82224759315,0.343420507107971,0.000203710982933268,1.04006894497884,1.25064031895667,7.97825927296533,"pepsyn",194,"S3.0078.01X194",1.05133404204594e-08
"ivig_1427","S3.0078.01",410,234.546014395312,0.572063449744665,200.916146465026,582.87116267331,0.344700783520553,0.000591384178176872,1.8438375222186,1.65959428319824,14.7241408488127,"pepsyn",194,"S3.0078.01X194",1.88737914186277e-15
"ivig_2154","S3.0078.01",1078,472.195056178256,0.438028809070738,544.067407001585,1583.91402253524,0.343495542851967,0.000216865017901769,1.11169005545512,1.27520958622602,8.80378508488862,"pepsyn",194,"S3.0078.01X194",1.57114010690406e-09
"ivig_2475","S3.0078.01",341,198.195061863826,0.581217190216499,166.167024858076,481.739887808303,0.344931007507102,0.000716010893505998,1.8201818493145,1.68502447610348,13.1350458346491,"pepsyn",194,"S3.0078.01X194",7.32747196252602e-14
"ivig_2643","S3.0078.01",353,201.128167719826,0.569768180509423,172.196063470551,499.281419499122,0.344887786217436,0.00069076831772235,1.76372008241588,1.65203931040403,12.5606637636052,"pepsyn",194,"S3.0078.01X194",2.75002243199651e-13
"ivig_2749","S3.0078.01",1107,474.446023979618,0.428587194200196,559.156200458115,1627.99778970199,0.343462505904549,0.000210972341656201,1.02233398739414,1.24784273925755,7.59910300601653,"pepsyn",194,"S3.0078.01X194",2.5170798556573e-08
"ivig_2899","S3.0078.01",1119,477.592861198552,0.426803271848572,565.403384301695,1646.25093715001,0.343449088800837,0.000208624992126302,1.00653409740133,1.24269734806625,7.41561811671713,"pepsyn",194,"S3.0078.01X194",3.84044794854433e-08
"ivig_3353","S3.0078.01",1228,512.863878148704,0.417641594583636,622.239711329942,1812.34811307617,0.343333439553061,0.000189441221074414,0.931323558741656,1.21643145254743,6.69058798702285,"pepsyn",194,"S3.0078.01X194",2.03897552619736e-07
"ivig_3679","S3.0078.01",442,188.526881983804,0.426531407203177,217.094373921215,629.976798516939,0.344606935417762,0.000547015280926248,0.812682528831683,1.23773309056041,3.28559953749432,"pepsyn",194,"S3.0078.01X194",0.000518084336810109
"ivig_3875","S3.0078.01",263,75.0867255993999,0.285500857792395,127.147080460638,368.269250927522,0.345255760942315,0.000937509064557398,-0.394610627333751,0.826925688403202,1.69198036457634,"pepsyn",194,"S3.0078.01X194",0.0203244890041385
"ivig_402","S3.0078.01",75,47.8158033618626,0.637544044824835,34.8975726249414,100.619000711058,0.346828853182064,0.00344695187520332,1.51751412436564,1.83820936169392,4.60054991295029,"pepsyn",194,"S3.0078.01X194",2.50870784007651e-05
"ivig_4176","S3.0078.01",530,202.350700570114,0.381793774660592,261.762137481888,760.09612866149,0.344380306136862,0.000453074674572159,0.452043981047523,1.10863997695867,1.36776095103282,"pepsyn",194,"S3.0078.01X194",0.0428784471543054
"ivig_4424","S3.0078.01",450,231.062242596028,0.513471650213396,221.144620083649,641.771742240036,0.344584539219142,0.000536926942305697,1.47923315276019,1.49011807487639,10.0384538942917,"pepsyn",194,"S3.0078.01X194",9.1526342060888e-11
"ivig_4427","S3.0078.01",323,193.782265156906,0.599945093365034,157.13566504296,455.467294069395,0.344998789351095,0.000757461169755323,1.90926500792036,1.73897738740899,14.0461047513124,"pepsyn",194,"S3.0078.01X194",8.99280649946375e-15
"ivig_464","S3.0078.01",311,99.4226185659885,0.319686876417969,151.12323018666,437.979801985869,0.345046117426976,0.000787812853155517,-0.105781509688043,0.926504777975444,0.734624669102227,"pepsyn",194,"S3.0078.01X194",0.18423635419348
"ivig_601","S3.0078.01",1103,484.686816715937,0.439425944438746,557.074263623514,1621.9149036726,0.3434670107304,0.000211766357132958,1.13201325596769,1.27938326159559,9.21540086577461,"pepsyn",194,"S3.0078.01X194",6.08974537463781e-10
"ivig_896","S3.0078.01",1563,635.163430137101,0.406374555430007,797.834910137495,2325.822161588,0.343033497278553,0.000147489134355974,0.856534671244196,1.1846497751793,6.4013574866211,"pepsyn",194,"S3.0078.01X194",3.96864738405611e-07
"uvig_158613","S3.0078.01",51,10.7895849858516,0.211560489918658,23.4528945946669,67.5265202901764,0.347313833052328,0.00514336932452381,-0.638219135475455,0.609133497676679,1.79785375046313,"pepsyn",194,"S3.0078.01X194",0.0159274499681983
"uvig_160801","S3.0078.01",81,35.351393033658,0.436436951032814,37.7779372268919,108.954236870617,0.346732153901948,0.00318236503564054,0.650553739813719,1.25871496520116,1.19531251364114,"pepsyn",194,"S3.0078.01X194",0.0637804363855858
"uvig_193528","S3.0078.01",443,188.148370360551,0.424714154312755,217.600533266392,631.450770863317,0.344604113744115,0.000545733934686585,0.798367188242375,1.23246977436876,3.18827885842763,"pepsyn",194,"S3.0078.01X194",0.000648218082136886
"uvig_205260","S3.0078.01",687,394.02093204167,0.573538474587584,341.998283077654,994.017174976302,0.344056714196923,0.000346127534672754,2.10564278115123,1.66698817642988,15,"pepsyn",194,"S3.0078.01X194",1e-15
"uvig_211095","S3.0078.01",437,188.226959809219,0.430725308487916,214.564102545723,622.608648384977,0.344621140586939,0.000553511650506097,0.844374523243737,1.24985167118399,3.49676490954022,"pepsyn",194,"S3.0078.01X194",0.000318592164472276
"uvig_213404","S3.0078.01",79,30.7856554019904,0.389691840531524,36.8170678558995,106.173403556696,0.346763564344431,0.00326601156907683,0.405288612560629,1.12379696312169,0.660188796136967,"pepsyn",194,"S3.0078.01X194",0.21868107687234
